Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFAIRS (GACA)
Topic|
SubTopic|
Level| 12+
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| The Right to Disconnect Bill, 2025, seeks to establish which principle in the modern digital workplace?
QBN| রাইট টু ডিসকানেক্ট বিল, ২০২৫ (The Right to Disconnect Bill, 2025) আধুনিক ডিজিটাল কর্মক্ষেত্রে কোন নীতিটি স্থাপন করতে চায়?
Common| 
Image| 
A| Clear work–life boundaries / স্পষ্ট কর্ম-জীবন সীমানা (Clear work–life boundaries)
B| Mandatory overtime compensation / বাধ্যতামূলক ওভারটাইম ক্ষতিপূরণ (Mandatory overtime compensation)
C| Uniform labour laws / অভিন্ন শ্রম আইন (Uniform labour laws)
D| Employer control over digital platforms / ডিজিটাল প্ল্যাটফর্মের ওপর নিয়োগকর্তার নিয়ন্ত্রণ (Employer control over digital platforms)
Shift| 09/02/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 5.06
Topic| 
SubTopic| 
QuestionID| GACA-000801

QEN| Which of the following institutes was chosen by the Indian Council of Medical Research (ICMR) in January 2025 to establish South India’s first Infectious Disease Research and Diagnostic Laboratory (IRDL)?
QBN| জানুয়ারি ২০২৫-এ দক্ষিণ ভারতের প্রথম সংক্রামক রোগ গবেষণা ও ডায়াগনস্টিক ল্যাবরেটরি (IRDL) প্রতিষ্ঠার জন্য ইন্ডিয়ান কাউন্সিল অফ মেডিকেল রিসার্চ (ICMR) দ্বারা নিচের কোন প্রতিষ্ঠানটিকে বেছে নেওয়া হয়েছিল?
Common| 
Image| 
A| Christian Medical College (CMC), Vellore / ক্রিশ্চিয়ান মেডিকেল কলেজ (CMC), ভেলোর [Christian Medical College (CMC), Vellore]
B| Sri Ramachandra Medical College and Research Institute, Chennai / শ্রী রামচন্দ্র মেডিকেল কলেজ অ্যান্ড রিসার্চ ইনস্টিটিউট, চেন্নাই [Sri Ramachandra Medical College and Research Institute, Chennai]
C| Kamineni Academy of Medical Sciences And Research Centre, Hyderabad / কামিনেনি একাডেমি অফ মেডিকেল সায়েন্সেস অ্যান্ড রিসার্চ সেন্টার, হায়দ্রাবাদ [Kamineni Academy of Medical Sciences And Research Centre, Hyderabad]
D| Bangalore Medical College and Research Institute (BMCRI) / ব্যাঙ্গালোর মেডিকেল কলেজ অ্যান্ড রিসার্চ ইনস্টিটিউট (BMCRI) [Bangalore Medical College and Research Institute (BMCRI)]
Shift| 05/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 8.25
Topic| 
SubTopic| 
QuestionID| GACA-000802

QEN| Who was awarded the Sahitya Akademi Award 2024 for his book "Ik Hor Ashwthama" in the Dogri language?
QBN| ডোগরি ভাষায় লেখা "ইক হোর অশ্বত্থামা" (Ik Hor Ashwthama) বইটির জন্য কে সাহিত্য একাডেমি পুরস্কার ২০২৪ পেয়েছেন?
Common| 
Image| 
A| Dalip Kaur Tiwana / দিলীপ কৌর তিওয়ানা (Dalip Kaur Tiwana)
B| Jaswant Singh / যশবন্ত সিং (Jaswant Singh)
C| Shiv Kumar Batalvi / শিব কুমার বাটলভি (Shiv Kumar Batalvi)
D| Chaman Arora / চামন অরোরা (Chaman Arora)
Shift| 09/02/2026 9:00 AM - 10:30 AM
Correct| D
Difficulty| 8.07
Topic| 
SubTopic| 
QuestionID| GACA-000803

QEN| Which of the following major health issues is Puducherry targeting in 2025 through its new screening initiative under the Family Adoption Programme?
QBN| পরিবার দত্তক গ্রহণ কর্মসূচির (Family Adoption Programme) অধীনে তার নতুন স্ক্রীনিং উদ্যোগের মাধ্যমে পুদুচেরি ২০২৫ সালে নিচের কোন প্রধান স্বাস্থ্য সমস্যাটিকে লক্ষ্য করছে?
Common| 
Image| 
A| Diabetes / ডায়াবেটিস বা মধুমেহ (Diabetes)
B| Tuberculosis / যক্ষ্মা বা টিবি (Tuberculosis)
C| Malaria / ম্যালেরিয়া (Malaria)
D| Dengue / ডেঙ্গু (Dengue)
Shift| 12/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 7.42
Topic| 
SubTopic| 
QuestionID| GACA-000804

QEN| Which romance novel by creator Prajakta Koli debuted in January 2025?
QBN| স্রষ্টা প্রজাকতা কোহলির (Prajakta Koli) লেখা কোন রোমান্স উপন্যাসটি জানুয়ারি ২০২৫ সালে আত্মপ্রকাশ করেছিল?
Common| 
Image| 
A| Too Good to Be True / টু গুড টু বি ট্রু (Too Good to Be True)
B| The Subdued Sound / দ্য সাবডুড সাউন্ড (The Subdued Sound)
