Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFAIRS (GACA)
Topic|
SubTopic|
Level| 12+
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| In April 2025, which international organisation acknowledged India’s achievement in lifting 171 million people out of extreme poverty?
QBN| এপ্রিল ২০২৫-এ কোন আন্তর্জাতিক সংস্থা চরম দারিদ্র্য থেকে ১৭১ মিলিয়ন মানুষকে মুক্ত করার ক্ষেত্রে ভারতের সাফল্যকে স্বীকৃতি দিয়েছে?
Common| 
Image| 
A| Asian Development Bank / এশিয়ান ডেভেলপমেন্ট ব্যাংক (Asian Development Bank)
B| United Nations / জাতিসংঘ (United Nations)
C| World Bank / ওয়ার্ল্ড ব্যাংক (World Bank)
D| International Monetary Fund / আন্তর্জাতিক মুদ্রা তহবিল (International Monetary Fund)
Shift| 02/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 7.62
Topic| 
SubTopic| 
QuestionID| GACA-001101

QEN| In June 2025, which of the following announced to introduce 'Validated UPI Handles' effective from 1 October 2025 for secured payments by investors to enhance investor protection and combat fraud?
QBN| বিনিয়োগকারীদের সুরক্ষা বাড়াতে এবং জালিয়াতি রুখতে ১ অক্টোবর ২০২৫ থেকে নিরাপদ অর্থপ্রদানের জন্য 'ভ্যালিডেটেড ইউপিআই হ্যান্ডেল' চালুর ঘোষণা দিয়েছে কোনটি?
Common| 
Image| 
A| Securities and Exchange Board of India (SEBI) / ভারতীয় সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ বোর্ড (Securities and Exchange Board of India - SEBI)
B| Life Insurance Corporation (LIC) / ভারতীয় জীবন বীমা নিগম (Life Insurance Corporation - LIC)
C| State Bank of India (SBI) / স্টেট ব্যাংক অফ ইন্ডিয়া (State Bank of India - SBI)
D| Reserve Bank of India (RBI) / ভারতীয় রিজার্ভ ব্যাংক (Reserve Bank of India - RBI)
Shift| 02/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 5.88
Topic| 
SubTopic| 
QuestionID| GACA-001102

QEN| Which of the following countries celebrated Poson Poya Honoring 2000 Years of Buddhism in June 2025?
QBN| নিচের কোন দেশ জুন ২০২৫-এ বৌদ্ধধর্মের ২০০০ বছর পূর্তি উপলক্ষে 'পোসন পোয়া' উদযাপন করেছে?
Common| 
Image| 
A| China / চীন (China)
B| Sri Lanka / শ্রীলঙ্কা (Sri Lanka)
C| India / ভারত (India)
D| Japan / জাপান (Japan)
Shift| 16/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 9.34
Topic| 
SubTopic| 
QuestionID| GACA-001103

QEN| Which award did former cyclist Sucha Singh receive in 2025?
QBN| প্রাক্তন সাইক্লিস্ট সুচা সিং ২০২৫ সালে কোন পুরস্কার পেয়েছিলেন?
Common| 
Image| 
A| Arjuna Award (Lifetime) / অর্জুন পুরস্কার (আজীবন সম্মাননা) (Arjuna Award (Lifetime))
B| Dronacharya Award / দ্রোণাচার্য পুরস্কার (Dronacharya Award)
C| Khel Ratna Award / খেলরত্ন পুরস্কার (Khel Ratna Award)
D| MAKA Trophy / মাকা ট্রফি (MAKA Trophy)
Shift| 01/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 9.16
Topic| 
SubTopic| 
QuestionID| GACA-001104

QEN| Which of the following Government of India initiatives focuses on advancing research and development in emerging areas such as quantum computing, communication, and sensing with a budget outlay of around ₹6,000 crore for 2023–2031?
QBN| ভারত সরকারের নিচের কোন উদ্যোগটি ২০২৩-২০৩১ সালের জন্য প্রায় ₹৬,০০০ কোটি টাকার বাজেট বরাদ্দের মাধ্যমে কোয়ান্টাম কম্পিউটিং, যোগাযোগ এবং সেন্সিংয়ের মতো উদীয়মান ক্ষেত্রগুলোতে গবেষণাকে এগিয়ে নেওয়ার দিকে দৃষ্টি নিবদ্ধ করে?
Common| 
Image| 
A| Digital India Mission / ডিজিটাল ইন্ডিয়া মিশন (Digital India Mission)
B| National Supercomputing Mission (NSM) / ন্যাশনাল সুপারকম্পিউটিং মিশন (National Supercomputing Mission - NSM)
C| National Nanotechnology Mission (NNM) / ন্যাশনাল ন্যানোটেকনোলজি মিশন (National Nanotechnology Mission - NNM)
D| National Quantum Mission (NQM) / ন্যাশনাল কোয়ান্টাম মিশন (National Quantum Mission - NQM)
Shift| 10/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 7.11
Topic| 
SubTopic| 
QuestionID| GACA-001105

QEN| Which para-archer achieved a historic milestone by becoming the first in their discipline to be honoured with the Padma Shri in 2025?
