Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFAIRS (GACA)
Topic|
SubTopic|
Level| 12+
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| In September 2025, which region planned to establish a dedicated women police station in each district for enhanced safety?
QBN| ২০২৫ সালের সেপ্টেম্বরে, বর্ধিত নিরাপত্তার জন্য কোন অঞ্চলে প্রতিটি জেলায় একটি করে ডেডিকেটেড মহিলা থানা স্থাপনের পরিকল্পনা করা হয়েছিল?
Common| 
Image| 
A| Mumbai Suburban District / মুম্বাই শহরতলি জেলা (Mumbai Suburban District)
B| All Districts of West Bengal / পশ্চিমবঙ্গের সমস্ত জেলা (All Districts of West Bengal)
C| Each of Delhi’s 15 Districts / দিল্লির ১৫টি জেলার প্রতিটিতে (Each of Delhi’s 15 Districts)
D| Each District in Uttar Pradesh / উত্তর প্রদেশের প্রতিটি জেলা (Each District in Uttar Pradesh)
Shift| 28/11/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 8.44
Topic| 
SubTopic| 
QuestionID| GACA-001001

QEN| In September 2025, TDK Corporation inaugurated its Advanced Technologies Lithium-ion Battery Manufacturing Plant in which Indian state?
QBN| ২০২৫ সালের সেপ্টেম্বরে, টিডিকে কর্পোরেশন (TDK Corporation) ভারতের কোন রাজ্যে তাদের অ্যাডভান্সড টেকনোলজিস লিথিয়াম-আয়ন ব্যাটারি প্রস্তুতকারক প্ল্যান্ট উদ্বোধন করেছে?
Common| 
Image| 
A| Haryana / হরিয়ানা (Haryana)
B| Kerala / কেরালা (Kerala)
C| Uttarakhand / উত্তরাখণ্ড (Uttarakhand)
D| Rajasthan / রাজস্থান (Rajasthan)
Shift| 06/02/2026 9:00 AM - 10:30 AM
Correct| D
Difficulty| 7.91
Topic| 
SubTopic| 
QuestionID| GACA-001002

QEN| In 2025, which male field athlete joined Usain Bolt as the only track‑and‑field winners of Laureus Sportsman of the Year?
QBN| ২০২৫ সালে, উসাইন বোল্টের পর লরিয়াস স্পোর্টসম্যান অফ দ্য ইয়ার খেতাব জয়ী দ্বিতীয় ট্র্যাক-অ্যান্ড-ফিল্ড পুরুষ অ্যাথলিট কে হলেন?
Common| 
Image| 
A| Max Verstappen / ম্যাক্স ভার্স্টাপেন (Max Verstappen)
B| Carlos Alcaraz / কার্লোস আলকারাজ (Carlos Alcaraz)
C| Novák Djokovic / নোভাক জোকোভিচ (Novak Djokovic)
D| Mondo Duplantis / মন্ডো ডুপ্লান্টিস (Mondo Duplantis)
Shift| 28/11/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 6.85
Topic| 
SubTopic| 
QuestionID| GACA-001003

QEN| Who is the recipient of the 2025 PSA Women’s Young Player of the Season Award?
QBN| ২০২৫ সালের পিএসএ উইমেনস ইয়াং প্লেয়ার অফ দ্য সিজন অ্যাওয়ার্ড (PSA Women’s Young Player of the Season Award) প্রাপক কে?
Common| 
Image| 
A| Anaka Alankamony / অনকা অলঙ্কামোনি (Anaka Alankamony)
B| Joshna Chinappa / জোশনা চিনাপ্পা (Joshna Chinappa)
C| Anahat Singh / অনাহত সিং (Anahat Singh)
D| Dipika Pallikal / দীপিকা পাল্লীকল (Dipika Pallikal)
Shift| 10/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.90
Topic| 
SubTopic| 
QuestionID| GACA-001004

QEN| The Income Tax Act, 2025, introduced a new concept to describe assets such as cryptocurrencies and tokenized assets. What is this new concept called?
QBN| আয়কর আইন, ২০২৫-এ ক্রিপ্টোকারেন্সি এবং টোকেনাইজড সম্পদের মতো সম্পদগুলোকে বর্ণনা করার জন্য একটি নতুন ধারণা চালু করা হয়েছে। এই নতুন ধারণার নাম কী?
Common| 
Image| 
A| Digital Currencies / ডিজিটাল কারেন্সিস (Digital Currencies)
B| Crypto Tokens / ক্রিপ্টো টোকেনস (Crypto Tokens)
C| Virtual Digital Assets / ভার্চুয়াল ডিজিটাল অ্যাসেটস (Virtual Digital Assets)
D| E-Assets / ই-অ্যাসেটস (E-Assets)
Shift| 03/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 8.05
Topic| 
SubTopic| 
QuestionID| GACA-001005

QEN| Which of the following is the unified inundation forecasting system launched by the Ministry of Jal Shakti in July 2025 that provides two‑days advance inundation forecasts up to village level in the form of flood‑inundation maps and water‑level predictions?
