Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFAIRS (GACA)
Topic|
SubTopic|
Level| 12+
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| What was India’s unemployment rate in May 2025, as per the Periodic Labour Force Survey (PLFS)?
QBN| পর্যায়ক্রমিক শ্রমশক্তি সমীক্ষা (PLFS) অনুসারে মে ২০২৫-এ ভারতের বেকারত্বের হার কত ছিল?
Common| 
Image| 
A| 5.6% / ৫.৬%
B| 6.2% / ৬.২%
C| 4.8% / ৪.৮%
D| 5.1% / ৫.১%
Shift| 19/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 7.88
Topic| 
SubTopic| 
QuestionID| GACA-000701

QEN| Which award did Pakistani cricketer Sana Mir receive in June 2025?
QBN| জুন ২০২৫-এ পাকিস্তানি ক্রিকেটার সানা মীর কোন পুরস্কারটি পেয়েছেন?
Common| 
Image| 
A| Asia Woman Cricketer of the Year / এশিয়া উইমেন ক্রিকেটার অফ দ্য ইয়ার (Asia Woman Cricketer of the Year)
B| ICC Best Bowler Award / আইসিসি সেরা বোলার পুরস্কার (ICC Best Bowler Award)
C| ICC Hall of Fame / আইসিসি হল অফ ফেম (ICC Hall of Fame)
D| PCB Lifetime Achievement Award / পিসিবি লাইফটাইম অ্যাচিভমেন্ট অ্যাওয়ার্ড (PCB Lifetime Achievement Award)
Shift| 21/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 5.12
Topic| 
SubTopic| 
QuestionID| GACA-000702

QEN| Which summit held in New Delhi from 10 to 12 April 2025 had the theme “Sambhavna”?
QBN| ১০ থেকে ১২ এপ্রিল ২০২৫ পর্যন্ত নতুন দিল্লিতে অনুষ্ঠিত কোন শীর্ষ সম্মেলনের মূল থিম ছিল "সম্ভাবনা" (Sambhavna)?
Common| 
Image| 
A| Digital India Summit, 2025 / ডিজিটাল ইন্ডিয়া সামিট, ২০২৫ (Digital India Summit, 2025)
B| Global Technology Summit, 2025 / গ্লোবাল টেকনোলজি সামিট, ২০২৫ (Global Technology Summit, 2025)
C| World Startup Summit, 2025 / ওয়ার্ল্ড স্টার্টআপ সামিট, ২০২৫ (World Startup Summit, 2025)
D| India Internet Governance Forum, 2025 / ইন্ডিয়া ইন্টারনেট গভর্ন্যান্স ফোরাম, ২০২৫ (India Internet Governance Forum, 2025)
Shift| 27/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 6.24
Topic| 
SubTopic| 
QuestionID| GACA-000703

QEN| Which Bollywood actor announced his comeback with the film Duniyadari in 2025?
QBN| কোন বলিউড অভিনেতা ২০২৫ সালে 'দুনিয়াদারি' (Duniyadari) চলচ্চিত্রের মাধ্যমে তাঁর প্রত্যাবর্তনের ঘোষণা করেছিলেন?
Common| 
Image| 
A| Neeraj Shah / নীরজ শাহ (Neeraj Shah)
B| Sanjay Dutt / সঞ্জয় দত্ত (Sanjay Dutt)
C| Mithun Chakraborty / মিথুন চক্রবর্তী (Mithun Chakraborty)
D| Govinda / গোবিন্দা (Govinda)
Shift| 12/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 6.01
Topic| 
SubTopic| 
QuestionID| GACA-000704

QEN| In September 2025, which region was declared as India’s first cold desert biosphere reserve under the United Nations Educational, Scientific and Cultural Organization (UNESCO) programme?
QBN| সেপ্টেম্বর ২০২৫-এ, ইউনেস্কোর (UNESCO) কর্মসূচির অধীনে কোন অঞ্চলটিকে ভারতের প্রথম শীতল মরুভূমি বায়োস্ফিয়ার রিজার্ভ (cold desert biosphere reserve) হিসেবে ঘোষণা করা হয়েছে?
Common| 
Image| 
A| Ladakh Valley / লদাখ উপত্যকা (Ladakh Valley)
B| Nubra Valley / নুব্রা উপত্যকা (Nubra Valley)
C| Satluj Valley / শতদ্রু উপত্যকা (Satluj Valley)
D| Spiti Valley / স্পিতি উপত্যকা (Spiti Valley)
Shift| 17/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 8.32
Topic| 
SubTopic| 
QuestionID| GACA-000705

QEN| Which SAI venue in Chennai was scheduled to host the Athletics selection trials on 1 February 2025?
QBN| চেন্নাইয়ের কোন এসএআই (SAI) ভেন্যুতে ১ ফেব্রুয়ারি ২০২৫ তারিখে অ্যাথলেটিক্স বাছাই ট্রায়াল আয়োজনের কথা ছিল?
Common| 
Image| 
A| Jawaharlal Nehru Stadium / জওহরলাল নেহরু স্টেডিয়াম (Jawaharlal Nehru Stadium)
B| Velachery Grounds / ভেলাচেরি গ্রাউন্ডস (Velachery Grounds)
