Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFARIS (GACA)
Topic|
SubTopic| 
Level| 10
Notification| 08/2024
Type| PYQ
Marks|
QType|MCQ
ImageFolder|No

Q|What is the projected space budget of India for the year 2025-26? / ২০২৫-২৬ সালের জন্য ভারতের প্রাক্কলিত মহাকাশ বাজেট (space budget) কত?
A|₹ 23,416 crore / ₹ ২৩,৪১৬ কোটি
B|₹ 43,416 crore / ₹ ৪৩,৪১৬ কোটি
C|₹ 33,416 crore / ₹ ৩৩,৪১৬ কোটি
D|₹ 13,416 crore / ₹ ১৩,৪১৬ কোটি
Shift| 19/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|6.80

Q|According to the Sustainable Development Goals — National Indicator Framework Progress Report 2025, published in June 2025, the rise in internet subscriptions in the year 2024–25 primarily supports which of the following SDGs in India? / জুন ২০২৫-এ প্রকাশিত টেকসই উন্নয়ন লক্ষ্যমাত্রা — জাতীয় সূচক কাঠামো অগ্রগতি প্রতিবেদন ২০২৫ অনুসারে, ২০২৪–২৫ সালে ইন্টারনেট সাবস্ক্রিপশন বৃদ্ধি মূলত ভারতের নিচের কোন এস.ডি.জি. (SDG)-কে সমর্থন করে?
A|SDG 9. / এস.ডি.জি. ৯ (SDG 9)
B|SDG 6. / এস.ডি.জি. ৬ (SDG 6)
C|SDG 13. / এস.ডি.জি. ১৩ (SDG 13)
D|SDG 1. / এস.ডি.জি. ১ (SDG 1)
Shift| 22/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|8.60

Q|In which village was Ahilyabai Holkar born, where the Maharashtra Cabinet held a special meeting in May 2025 to honour her 300th birth anniversary? / অহল্যাবাই হোলকার কোন গ্রামে জন্মগ্রহণ করেছিলেন, যেখানে মহারাষ্ট্র ক্যাবিনেট ২০২৫ সালের মে মাসে তাঁর ৩০০তম জন্মবার্ষিকী স্মরণে একটি বিশেষ বৈঠক করেছিল?
A|Paithan / পাইথান (Paithan)
B|Nashik / নাসিক (Nashik)
C|Maheshwar / মহেশ্বর (Maheshwar)
D|Chondi / চোন্দি (Chondi)
Shift| 09/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|7.23

Q|Who authored the book 'Test Cricket: A History', released in 2025? / ২০২৫ সালে প্রকাশিত 'টেস্ট ক্রিকেট: এ হিস্ট্রি' (Test Cricket: A History) বইটির লেখক কে?
A|Gideon Haigh / গিডিওন হেইগ (Gideon Haigh)
B|Tim Wigmore / টিম উইগমোর (Tim Wigmore)
C|Michael Atherton / মাইকেল আথারটন (Michael Atherton)
D|Ramachandra Guha / রামচন্দ্র গুহ (Ramachandra Guha)
Shift| 27/11/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|7.07

Q|How many people died due to natural disasters in 2024-25 as per provisional estimates from the Disaster Management (DM) division of the Home Affairs ministry? / স্বরাষ্ট্র মন্ত্রকের দুর্যোগ ব্যবস্থাপনা (DM) বিভাগের সাময়িক হিসাব অনুযায়ী ২০২৪-২৫ সালে প্রাকৃতিক দুর্যোগের কারণে কতজন মানুষের মৃত্যু হয়েছে?
A|1500 / ১৫০০
B|6900 / ৬৯০০
C|4330 / ৪৩৩০
D|3080 / ৩০৮০
Shift| 04/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|6.07

Q|In August 2025, Union Health Secretary, Punya Salila Srivastava, virtually inaugurated an innovative national mechanism aimed at evaluating and improving state drug regulatory frameworks through an open and evidence-based approach named / ২০২৫ সালের আগস্ট,ে, কেন্দ্রীয় স্বাস্থ্য সচিব পুণ্য সলিলা শ্রীবাস্তব একটি উন্মুক্ত এবং প্রমাণ-ভিত্তিক পদ্ধতির মাধ্যমে রাজ্য ওষুধ নিয়ন্ত্রণ কাঠামোর মূল্যায়ন ও উন্নতির লক্ষ্যে তৈরি কোন উদ্ভাবনী জাতীয় ব্যবস্থার ভার্চুয়াল উদ্বোধন করেছিলেন?
A|Health Infrastructure Performance Index / হেলথ ইনফ্রাস্ট্রাকচার পারফরম্যান্স ইনডেক্স (Health Infrastructure Performance Index)
B|Pharmaceutical Compliance Monitoring Index / ফার্মাসিউটিক্যাল কমপ্লায়েন্স মনিটরিং ইনডেক্স (Pharmaceutical Compliance Monitoring Index)
C|National Drug Regulatory Reform Index / ন্যাশনাল ড্রাগ রেগুলেটরি রিফর্ম ইনডেক্স (National Drug Regulatory Reform Index)
D|State Health Regulatory Excellence Index / স্টেট হেলথ রেগুলেটরি এক্সেলেন্স ইনডেক্স (State Health Regulatory Excellence Index)
Shift| 10/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|8.01

Q|In June 2025, the Reserve Bank of India introduced relaxed norms for project finance provisioning bringing significant relief to lenders, with effect from / ২০২৫ সালের জুনে, ভারতীয় রিজার্ভ ব্যাংক প্রকল্প অর্থায়ন ব্যবস্থার (project finance provisioning) নিয়ম শিথিল করেছে যা ঋণদাতাদের উল্লেখযোগ্য স্বস্তি দিয়েছে, এটি কত তারিখ থেকে কার্যকর হয়েছে?
A|1 August 2025 / ১ আগস্ট, ২০২৫
B|1 October 2025 / ১ অক্টোবর, ২০২৫
C|1 September 2025 / ১ সেপ্টেম্বর, ২০২৫
D|1 November 2025 / ১ নভেম্বর, ২০২৫
Shift| 27/11/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|6.15

Q|Which of the following associations organised the 2 nd Federation Gatka Cup 2025 in Bengaluru in November 2025? / ২০২৫ সালের নভেম্বর, বেঙ্গালুরুতে নিচের কোন সমিতি ২য় ফেডারেশন গটকা কাপ ২০২৫ (2nd Federation Gatka Cup 2025) আয়োজন করেছিল?
A|Indian Gatka and Martial Arts Federation / ইন্ডিয়ান গটকা অ্যান্ড মার্শাল আর্টস ফেডারেশন (Indian Gatka and Martial Arts Federation)
B|Federation of Traditional Indian Sports / ফেডারেশন অফ ট্র্যাডিশনাল ইন্ডিয়ান স্পোর্টস (Federation of Traditional Indian Sports)
C|All India Sports and Martial Arts Council / অল ইন্ডিয়া স্পোর্টস অ্যান্ড মার্শাল আর্টস কাউন্সিল (All India Sports and Martial Arts Council)
D|National Gatka Association of India / ন্যাশনাল গটকা অ্যাসোসিয়েশন অফ ইন্ডিয়া (National Gatka Association of India)
Shift| 04/02/2026 4:30 PM - 6:00 PM
Correct|D
Difficulty|9.37

Q|At which event did the DRDO official announce the development of the new high-calibre Pinaka rocket with a range of 120 km? / কোন ইভেন্টে ডিআরডিও (DRDO) কর্মকর্তা ১২০ কিমি পাল্লার নতুন উচ্চ-ক্যালিবারের পিনাকা (Pinaka) রকেট তৈরির কথা ঘোষণা করেছিলেন?
A|Aero Expo 2025 / অ্যারো এক্সপো ২০২৫ (Aero Expo 2025)
B|Aero India 2025 / অ্যারো ইন্ডিয়া ২০২৫ (Aero India 2025)
C|Defence Expo 2025 / ডিফেন্স এক্সপো ২০২৫ (Defence Expo 2025)
D|International Defence Conference 2025 / ইন্টারন্যাশনাল ডিফেন্স কনফারেন্স ২০২৫ (International Defence Conference 2025)
Shift| 04/02/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|6.10

Q|What was the approximate monetary loss alleged by the State Bank of India (SBI) in its complaint against Anil Ambani and his company Reliance Communications Ltd, that triggered the Central Bureau of Investigation's (CBI) investigation in August 2025? / অনিল আম্বানি এবং তাঁর কোম্পানি রিলায়েন্স কমিউনিকেশনস লিমিটেডের বিরুদ্ধে স্টেট ব্যাংক অফ ইন্ডিয়ার (SBI) অভিযোগে কত টাকার আনুমানিক আর্থিক ক্ষতির কথা বলা হয়েছিল, যা ২০২৫ সালের আগস্ট,ে কেন্দ্রীয় তদন্ত ব্যুরোর (CBI) তদন্তের সূত্রপাত করেছিল?
A|₹ 1,000 crore / ₹ ১,০০০ কোটি
B|₹ 10,000 crore / ₹ ১০,০০০ কোটি
C|₹ 3,000 crore / ₹ ৩,০০০ কোটি
D|₹ 1,900 crore / ₹ ১,৯০০ কোটি
Shift| 09/01/2026 12:45 PM - 2:15 PM
Correct|C
Difficulty|9.33

Q|In May 2025, which of the following nodal agencies of the Union Government invited public comments on the Draft Framework of India's Climate Finance Taxonomy? / ২০২৫ সালের মে মাসে, কেন্দ্র সরকারের নিচের কোন নোডাল এজেন্সি ভারতের ক্লাইমেট ফাইন্যান্স ট্যাক্সোনমির ড্রাফট ফ্রেমওয়ার্কের উপর জনগণের মতামত আহ্বান করেছিল?
A|Department of Financial Services / আর্থিক পরিষেবা বিভাগ (Department of Financial Services)
B|National Statistical Office / জাতীয় পরিসংখ্যান কার্যালয় (National Statistical Office)
C|Department of Economic Affairs / অর্থনৈতিক বিষয়ক বিভাগ (Department of Economic Affairs)
D|NITI Aayog Secretariat / নীতি আয়োগ সচিবালয় (NITI Aayog Secretariat)
Shift| 27/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|5.44

Q|In the weightlifting event at the 38 th National Games, what was Mehak Sharma's total lift that earned her the gold medal and set a new national record? / ৩৮তম জাতীয় গেমসের ভারোত্তোলন ইভেন্টে মেহেক শর্মার মোট উত্তোলন কত ছিল যা তাঁকে স্বর্ণপদক এনে দিয়েছিল এবং একটি নতুন জাতীয় রেকর্ড তৈরি করেছিল?
A|311 kg / ৩১১ কেজি
B|289 kg / ২৮৯ কেজি
C|247 kg / ২৪৭ কেজি
D|299 kg / ২৯৯ কেজি
Shift| 22/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|7.01

Q|Which organisation announced plans to develop a new indicator for measuring extreme poverty in India in 2025? / ২০২৫ সালে ভারতে চরম দারিদ্র্য পরিমাপের জন্য একটি নতুন সূচক তৈরির পরিকল্পনা ঘোষণা করেছে কোন সংস্থা?
A|Reserve Bank of India / ভারতীয় রিজার্ভ ব্যাংক (Reserve Bank of India)
B|World Bank / বিশ্বব্যাংক (World Bank)
C|Ministry of Statistics / পরিসংখ্যান মন্ত্রক (Ministry of Statistics)
D|NITI Aayog / নীতি আয়োগ (NITI Aayog)
Shift| 03/02/2026 12:45 PM - 2:15 PM
Correct|B
Difficulty|7.49

Q|Which celebrated author released his/her debut crime novel As Dark As Blood in January 2025? / ২০২৫ সালের জানুয়ারিতে কোন বিখ্যাত লেখক তাঁর প্রথম অপরাধ উপন্যাস 'অ্যাজ ডার্ক অ্যাজ ব্লাড' (As Dark As Blood) প্রকাশ করেছিলেন?
A|Banu Mushtaq / বানু মুশতাক (Banu Mushtaq)
B|Neha Dixit / নেহা দীক্ষিত (Neha Dixit)
C|Yasser Usman / ইয়াসির উসমান (Yasser Usman)
D|Shariq Us Sabah / শারিক উস সাবাহ (Shariq Us Sabah)
Shift| 03/12/2025 4:30 PM - 6:00 PM
Correct|C
Difficulty|9.28

Q|The Greenhouse Gases Emission Intensity Target Rules, 2025, targets the specify values for which of the following compliance years? / গ্রিনহাউস গ্যাসেস এমিশন ইনটেনসিটি টার্গেট রুলস, ২০২৫ (The Greenhouse Gases Emission Intensity Target Rules, 2025), নিচের কোন অনুপালন বছরগুলির মান নির্দিষ্ট করে?
A|2030-31 and 2035-36 / ২০৩০-৩১ এবং ২০৩৫-৩৬
B|2025-26 and 2026-27 / ২০২৫-২৬ এবং ২০২৬-২৭
C|2026-27 and 2027-28 / ২০২৬-২৭ এবং ২০২৭-২৮
D|2027-28 and 2028-29 / ২০২৭-২৮ এবং ২০২৮-২৯
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|8.80

Q|Indian Conservation Conference-2025, highlighting traditional knowledge and scientific approaches, took place in which month of 2025? / ঐতিহ্যবাহী জ্ঞান এবং বৈজ্ঞানিক দৃষ্টিভঙ্গিকে তুলে ধরে 'ইন্ডিয়ান কনজারভেশন কনফারেন্স-২০২৫' (Indian Conservation Conference-2025) ২০২৫ সালের কোন মাসে অনুষ্ঠিত হয়েছিল?
A|September / সেপ্টেম্বর
B|April / এপ্রিল
C|March / মার্চ
D|June / জুন
Shift| 19/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|6.40

Q|The South Asian Athletics Championships were held in ________ 2025. / সাউথ এশিয়ান অ্যাথলেটিক্স চ্যাম্পিয়নশিপ (South Asian Athletics Championships) ২০২৫ সালের কোন মাসে অনুষ্ঠিত হয়েছিল?
A|March / মার্চ
B|June / জুন
C|April / এপ্রিল
D|May / মে
Shift| 04/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|7.85

Q|Which private-sector facility was commissioned for aerospace titanium production? / মহাকাশীয় টাইটানিয়াম উৎপাদনের জন্য কোন বেসরকারি খাতের সুবিধা চালু করা হয়েছিল?
A|Aerolloy Technologies / অ্যারোলয় টেকনোলজিস (Aerolloy Technologies)
B|Bharat Electronics Limited / ভারত ইলেকট্রনিক্স লিমিটেড (Bharat Electronics Limited)
C|Hindustan Aeronautics Limited / হিন্দুস্তান অ্যারোনটিক্স লিমিটেড (Hindustan Aeronautics Limited)
D|Tata Aircraft Complex / টাটা এয়ারক্রাফট কমপ্লেক্স (Tata Aircraft Complex)
Shift| 24/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|8.86

Q|Who among the following has received the National Geoscience Award for Lifetime Achievement in 2023? / নিচের কে ২০২৩ সালের লাইফটাইম অ্যাচিভমেন্টের জন্য জাতীয় ভূবিজ্ঞান পুরস্কার (National Geoscience Award) পেয়েছেন?
A|Prof. Dheeraj Mohan Banerjee / অধ্যাপক ধীরজ মোহন ব্যানার্জী (Prof. Dheeraj Mohan Banerjee)
B|Prof. Suraj Mohan Banerjee / অধ্যাপক সুরজ মোহন ব্যানার্জী (Prof. Suraj Mohan Banerjee)
C|Prof. Agraj Mohan Banerjee / অধ্যাপক অগ্রজ মোহন ব্যানার্জী (Prof. Agraj Mohan Banerjee)
D|Prof. Neeraj Mohan Banerjee / অধ্যাপক নীরজ মোহন ব্যানার্জী (Prof. Neeraj Mohan Banerjee)
Shift| 05/02/2026 4:30 PM - 6:00 PM
Correct|A
Difficulty|5.80

Q|What is the full form of RIMES, an intergovernmental body in news in 2025? / ২০২৫ সালের সংবাদে আসা আন্তর্জাতিক সরকারি সংস্থা 'রাইমস' (RIMES)-এর পূর্ণরূপ কী?
A|Risk Information and Monitoring of Emergency Situations / রিস্ক ইনফরমেশন অ্যান্ড মনিটরিং অফ ইমার্জেন্সি সিচুয়েশনস (Risk Information and Monitoring of Emergency Situations)
B|Research Initiative for Mitigating Environmental Shocks / রিসার্চ ইনিশিয়েটিভ ফর মিটিগেটিং এনভায়রনমেন্টাল শকস (Research Initiative for Mitigating Environmental Shocks)
C|Regional Institute for Meteorological and Environmental Studies / রিজিওনাল ইনস্টিটিউট ফর মেটিওরোলজিক্যাল অ্যান্ড এনভায়রনমেন্টাল স্টাডিজ (Regional Institute for Meteorological and Environmental Studies)
D|Regional Integrated Multi-Hazard Early Warning System / রিজিওনাল ইন্টিগ্রেটেড মাল্টি-হ্যাজার্ড আর্লি ওয়ার্নিং সিস্টেম (Regional Integrated Multi-Hazard Early Warning System)
Shift| 28/11/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|8.68

Q|How many entities were penalised by the Reserve Bank of India in FY25? / ২০২৪-২৫ অর্থবর্ষে ভারতীয় রিজার্ভ ব্যাংক কতগুলি সংস্থাকে জরিমানা করেছে?
A|500 / ৫০০
B|283 / ২৮৩
C|100 / ১০০
D|353 / ৩৫৩
Shift| 27/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|8.66

Q|Which veteran actor and dancer, noted for her appearances in films like 'Navrang' and 'Pinjra', passed away in October 2025? / 'নবরং' এবং 'পিঞ্জরা'-র মতো চলচ্চিত্রে অভিনয়ের জন্য পরিচিত কোন প্রবীণ অভিনেত্রী ও নৃত্যশিল্পী ২০২৫ সালের অক্টোবর,ে প্রয়াত হন?
A|Madhumati / মধুমতি (Madhumati)
B|Sulakshana Pandit / সুলক্ষণা পণ্ডিত (Sulakshana Pandit)
C|Jyoti Chandekar / জ্যোতি চান্দেকর (Jyoti Chandekar)
D|Sandhya Shantaram / সন্ধ্যা শান্তারাম (Sandhya Shantaram)
Shift| 29/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|9.34

Q|What was India's global rank in the aviation market according to the International Aviation Data 2024 report released in 2025? / ২০২৫ সালে প্রকাশিত ইন্টারন্যাশনাল অ্যাভিয়েশন ডাটা ২০২৪ রিপোর্ট অনুসারে এভিয়েশন বা বিমান চলাচলের বাজারে ভারতের বৈশ্বিক স্থান কত ছিল?
A|3rd / ৩-য়
B|6th / ৬-ষ্ঠ
C|5th / ৫-ম
D|4th / ৪-র্থ
Shift| 24/12/2025 12:45 PM - 2:15 PM
Correct|C
Difficulty|6.00

