Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFARIS (GACA)
Topic|
SubTopic| 
Level| 10
Notification| 08/2024
Type| PYQ
Marks|
QType|MCQ
ImageFolder|No

Q|Who joined as the Mission Director of Atal Innovation Mission under NITI Aayog in 2025? / ২০২৫ সালে নীতি আয়োগের (NITI Aayog) অধীনে অটল ইনোভেশন মিশনের (Atal Innovation Mission) মিশন ডিরেক্টর হিসেবে কে যোগ দিয়েছিলেন?
A|BS Subrahmanyam / বিএস সুব্রহ্মণ্যম (BS Subrahmanyam)
B|V. K. Paul / ভি কে পল (V. K. Paul)
C|Deepak Bagla / দীপক বাগলা (Deepak Bagla)
D|Poonam Gupta / পুনম গুপ্তা (Poonam Gupta)
Shift| 02/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|7.88

Q|Who authored 'Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism', published in 2025? / ২০২৫ সালে প্রকাশিত 'কেয়ারলেস পিপল: এ কশনারি টেল অফ পাওয়ার, গ্রিড, অ্যান্ড লস্ট আইডিয়ালিজম' (Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism) কে রচনা করেছেন?
A|Susannah Wynn-Wallace / সুজানা উইন-ওয়ালেস (Susannah Wynn-Wallace)
B|Samantha Wynne-Williamson / সামান্থা উইন-উইলিয়ামসন (Samantha Wynne-Williamson)
C|Alexandra Winslow-Meyer / আলেকজান্দ্রা উইনস্লো-মেয়ার (Alexandra Winslow-Meyer)
D|Sarah Wynn-Williams / সারাহ উইন-উইলিয়ামস (Sarah Wynn-Williams)
Shift| 08/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|5.12

Q|How many prototypes of the Advanced Medium Combat Aircraft (AMCA) does India plan to develop before starting series production? / ধারাবাহিক উৎপাদন বা সিরিজ প্রোডাকশন শুরু করার আগে ভারত অ্যাডভান্সড মিডিয়াম কমব্যাট এয়ারক্রাফট (AMCA)-এর কতটি প্রোটোটাইপ বা প্রতিরূপ তৈরি করার পরিকল্পনা করেছে?
A|Four / চারটি
B|Three / তিনটি
C|Five / পাঁচটি
D|Six / ছয়টি
Shift| 01/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|6.24

Q|Which of the following states launched Surakshit Shanivar (Safe Saturday), a disaster preparedness initiative for students in June 2025? / নিচের কোন রাজ্য ২০২৫ সালের জুনে শিক্ষার্থীদের জন্য একটি দুর্যোগ প্রস্তুতি উদ্যোগ 'সুরক্ষিত শনিবার' (Safe Saturday) চালু করেছে?
A|Uttar Pradesh / উত্তরপ্রদেশ (Uttar Pradesh)
B|Bihar / বিহার (Bihar)
C|Assam / আসাম (Assam)
D|Jharkhand / ঝাড়খণ্ড (Jharkhand)
Shift| 05/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|6.01

Q|Which city hosted the 2024 National Boxing Championships from 6 to 13 January? / ৬ থেকে ১৩ জানুয়ারি পর্যন্ত কোন শহর ২০২৪ সালের জাতীয় বক্সিং চ্যাম্পিয়নশিপের (National Boxing Championships) আয়োজন করেছিল?
A|Jaipur / জয়পুর (Jaipur)
B|Bareilly / বেরেলি (Bareilly)
C|Guwahati / গুয়াহাটি (Guwahati)
D|Patna / পাটনা (Patna)
Shift| 06/02/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|8.32

Q|The All India Chess Federation (AICF) launched which scheme to support young chess players from U-7 to U-19 age groups in 2025? / অল ইন্ডিয়া চেস ফেডারেশন (AICF) ২০২৫ সালে অনূর্ধ্ব-৭ থেকে অনূর্ধ্ব-১৯ বয়সের তরুণ দাবাড়ুদের সহায়তা করার জন্য কোন প্রকল্প চালু করেছে?
A|National Chess Talent Initiative / ন্যাশনাল চেস ট্যালেন্ট ইনিশিয়েটিভ (National Chess Talent Initiative)
B|Top National Players Stipend Scheme / টপ ন্যাশনাল প্লেয়ার্স স্টাইপেন্ড স্কিম (Top National Players Stipend Scheme)
C|Youth Chess Empowerment Scheme / ইয়ুথ চেস এমপাওয়ারমেন্ট স্কিম (Youth Chess Empowerment Scheme)
D|Chess Development Program / চেস ডেভেলপমেন্ট প্রোগ্রাম (Chess Development Program)
Shift| 16/12/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|8.05

Q|Which of the following novels won the 2025 Pulitzer Prize for Fiction? / নিচের কোন উপন্যাসটি ফিকশন বিভাগে ২০২৫ সালের পুলিৎজার পুরস্কার (Pulitzer Prize for Fiction) জিতেছে?
A|James / জেমস (James)
B|Every Living Thing / এভরি লিভিং থিং (Every Living Thing)
C|Native Nations / নেটিভ নেশনস (Native Nations)
D|Feeding Ghosts / ফিডিং ঘোস্টস (Feeding Ghosts)
Shift| 01/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|9.02

Q|The Supreme Court (Amendment) Rules, 2025 include changes to Order II, Rules 1 to 3 of the Supreme Court Rules, passed in the year / সুপ্রিম কোর্ট (সংশোধনী) বিধিমালা, ২০২৫-এর মধ্যে সুপ্রিম কোর্টের বিধিমালার অর্ডার II, বিধি ১ থেকে ৩-এর পরিবর্তন অন্তর্ভুক্ত রয়েছে, যা কোন সালে পাস হয়েছিল?
A|2013 / ২০১৩
B|1983 / ১৯৮৩
C|1993 / ১৯৯৩
D|2003 / ২০০৩
Shift| 01/12/2025 12:45 PM - 2:15 PM
Correct|A
Difficulty|5.40

Q|What is the name given to the mobile application launched by the Government of India in October 2024 for registration of births and deaths, aimed to streamline and reduce the time required for these registrations? / জন্ম ও মৃত্যু নিবন্ধন সহজতর করতে এবং এই নিবন্ধনের জন্য প্রয়োজনীয় সময় কমাতে ২০২৪ সালের অক্টোবরে ভারত সরকার দ্বারা চালু করা মোবাইল অ্যাপ্লিকেশনটির নাম কী?
A|Central Registration System / সেন্ট্রাল রেজিস্ট্রেশন সিস্টেম (Central Registration System)
B|Civil Registration App / সিভিল রেজিস্ট্রেশন অ্যাপ (Civil Registration App)
C|Civil Registration System / সিভিল রেজিস্ট্রেশন সিস্টেম (Civil Registration System)
D|Birth and Death Registration System / বার্থ অ্যান্ড ডেথ রেজিস্ট্রেশন সিস্টেম (Birth and Death Registration System)
Shift| 09/01/2026 12:45 PM - 2:15 PM
Correct|C
Difficulty|6.90

Q|According to a June 2025 news update, on which date is Dan Brown's new Robert Langdon thriller The Secret of Secrets scheduled for publication? / ২০২৫ সালের জুনের একটি সংবাদ আপডেট অনুসারে, ড্যান ব্রাউনের নতুন রবার্ট ল্যাংডন থ্রিলার 'দ্য সিক্রেট অফ সিক্রেটস' (The Secret of Secrets) কোন তারিখে প্রকাশের জন্য নির্ধারিত রয়েছে?
A|25 March 2025 / ২৫ মার্চ ২০২৫
B|13 May 2025 / ১৩ মে ২০২৫
C|18 November 2025 / ১৮ নভেম্বর ২০২৫
D|9 September 2025 / ৯ সেপ্টেম্বর ২০২৫
Shift| 09/01/2026 9:00 AM - 10:30 AM
Correct|D
Difficulty|5.14

Q|As on 31st August 2025, how many total projects did NABARD sanction under term loans across 8 State Governments? / ৩১শে আগস্ট ২০২৫ পর্যন্ত, নাবার্ড (NABARD) ৮টি রাজ্য সরকার জুড়ে মেয়াদী ঋণের অধীনে মোট কতটি প্রকল্পের অনুমোদন দিয়েছে?
A|64 / ৬৪
B|92 / ৯২
C|72 / ৭২
D|86 / ৮৬
Shift| 09/02/2026 12:45 PM - 2:15 PM
Correct|D
Difficulty|5.99

Q|Where was the 2 nd Global Cervical Cancer Elimination Forum held? / ২য় গ্লোবাল সার্ভিকাল ক্যান্সার এলিমিনেশন ফোরাম (Global Cervical Cancer Elimination Forum) কোথায় অনুষ্ঠিত হয়েছিল?
A|Jakarta, Indonesia / জাকার্তা, ইন্দোনেশিয়া (Jakarta, Indonesia)
B|Kigali, Rwanda / কিগালি, রুয়ান্ডা (Kigali, Rwanda)
C|Cartagena, Colombia / কার্টাহেনা, কলম্বিয়া (Cartagena, Colombia)
D|Bali, Indonesia / বালি, ইন্দোনেশিয়া (Bali, Indonesia)
Shift| 05/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|7.28

Q|Who authored the book Memories and Milestones, documenting 60 years of Blue Cross of India, launched in 2025? / ২০২৫ সালে চালু হওয়া 'মেমোরিজ অ্যান্ড মাইলস্টোনস' (Memories and Milestones) বইটি কে রচনা করেছেন, যা ব্লু ক্রস অফ ইন্ডিয়া (Blue Cross of India)-র ৬০ বছরের ইতিহাস নথিভুক্ত করে?
A|Lashman and Maneka Gandhi / লক্ষণ এবং মনেকা গান্ধী (Lashman and Maneka Gandhi)
B|Justice PN Prakash and V Sriram / জাস্টিস পিএন প্রকাশ এবং ভি শ্রীরাম (Justice PN Prakash and V Sriram)
C|Maneka Sanjay Gandhi and AL Somayaji / মনেকা সঞ্জয় গান্ধী এবং এএল সোমায়াজী (Maneka Sanjay Gandhi and AL Somayaji)
D|V Sriram and Lashman / ভি শ্রীরাম এবং লক্ষণ (V Sriram and Lashman)
Shift| 08/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|5.13

Q|As reported by Feeding India (an NGO) in June 2025, the big fat Indian wedding is quietly triggering a climate chaos by adding which of the following gases in the atmosphere? / ২০২৫ সালের জুনে ফিডিং ইন্ডিয়া (Feeding India) (একটি এনজিও) দ্বারা রিপোর্ট করা অনুসারে, জমকালো ভারতীয় বিয়ে বায়ুমণ্ডলে নিচের কোন গ্যাস যোগ করে নীরবে একটি জলবায়ু বিপর্যয় ডেকে আনছে?
A|Hydrofluorocarbons / হাইড্রোফ্লুরোকার্বন (Hydrofluorocarbons)
B|Methane / মিথেন (Methane)
C|Carbon Monoxide / কার্বন মনোক্সাইড (Carbon Monoxide)
D|Nitrous Oxide / নাইট্রাস অক্সাইড (Nitrous Oxide)
Shift| 09/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|5.90

Q|Which among the following banks appointed Rajiv Anand as Chief Executive Officer (CEO) for a three-year term starting August 25, 2025 ? / নিচের কোন ব্যাংক রাজীব আনন্দকে ২৫শে আগস্ট, ২০২৫ থেকে শুরু হওয়া তিন বছরের মেয়াদের জন্য প্রধান নির্বাহী কর্মকর্তা (CEO) হিসেবে নিযুক্ত করেছে?
A|Axis Bank / অ্যাক্সিস ব্যাংক (Axis Bank)
B|IDFC First Bank / আইডিএফসি ফার্স্ট ব্যাংক (IDFC First Bank)
C|Kotak Mahindra Bank / কোটাক মাহিন্দ্রা ব্যাংক (Kotak Mahindra Bank)
D|Indusind Bank / ইন্ডাসইন্ড ব্যাংক (Indusind Bank)
Shift| 10/02/2026 4:30 PM - 6:00 PM
Correct|D
Difficulty|7.93

Q|Which Indian gymnast made history at the FIG Apparatus World Cup 2025 by winning a bronze medal? / কোন ভারতীয় জিমন্যান্ট এফআইজি অ্যাপারেটাস ওয়ার্ল্ড কাপ ২০২৫ (FIG Apparatus World Cup 2025)-এ ব্রোঞ্জ পদক জিতে ইতিহাস গড়েছেন?
A|Meghna Reddy / মেঘনা রেড্ডি (Meghna Reddy)
B|Pranati Nayak / প্রণতি নায়েক (Pranati Nayak)
C|Aruna Reddy / অরুণা রেড্ডি (Aruna Reddy)
D|Dipa Karmakar / দীপা কর্মকার (Dipa Karmakar)
Shift| 05/12/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|7.46

Q|In August 2025, the report 'Unlocking a $200 Billion Opportunity: Electric Vehicles in India,' assessing challenges and key steps for India's Electric Mobility transition, was released by / ২০২৫ সালের আগস্টে, ভারতের বৈদ্যুতিক গতিশীলতা বা ই-মোবিলিটি রূপান্তরের চ্যালেঞ্জ এবং মূল পদক্ষেপগুলি মূল্যায়নকারী 'আনলকিং এ $২০০ বিলিয়ন অপরচুনিটি: ইলেকট্রিক ভেহিকলস ইন ইন্ডিয়া' (Unlocking a $200 Billion Opportunity: Electric Vehicles in India) শীর্ষক প্রতিবেদনটি কার দ্বারা প্রকাশিত হয়েছিল?
A|NITI Aayog / নীতি আয়োগ (NITI Aayog)
B|Ministry of Road Transport and Highways / সড়ক পরিবহন ও মহাসড়ক মন্ত্রক (Ministry of Road Transport and Highways)
C|Ministry of Heavy Industries / ভারী শিল্প মন্ত্রক (Ministry of Heavy Industries)
D|Bureau of Energy Efficiency / ব্যুরো অফ এনার্জি এফিসিয়েন্সি (Bureau of Energy Efficiency)
Shift| 09/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|6.00

Q|Which of the following devices/frameworks was signed between India and Singapore and marked the upgrade of their relationship by exchanging several MoUs in areas such as semiconductors, digital technologies and skills development? / ভারত ও সিঙ্গাপুরের মধ্যে নিচের কোন দ্বিপাক্ষিক চুক্তিটি স্বাক্ষরিত হয়েছিল যা সেমিকন্ডাক্টর, ডিজিটাল প্রযুক্তি এবং দক্ষতা উন্নয়নের মতো ক্ষেত্রগুলিতে বেশ কয়েকটি সমঝোতা স্মারক (MoU) বিনিময়ের মাধ্যমে তাদের সম্পর্কের উন্নতি চিহ্নিত করেছে?
A|India-Singapore Comprehensive Economic Partnership Agreement / ভারত-সিঙ্গাপুর ব্যাপক অর্থনৈতিক অংশীদারিত্ব চুক্তি (India-Singapore Comprehensive Economic Partnership Agreement)
B|India-Singapore Comprehensive Strategic Partnership / ভারত-সিঙ্গাপুর ব্যাপক কৌশলগত অংশীদারিত্ব (India-Singapore Comprehensive Strategic Partnership)
C|India-Singapore Indo-Pacific Security Treaty / ভারত-সিঙ্গাপুর ইন্দো-প্যাসিফিক নিরাপত্তা চুক্তি (India-Singapore Indo-Pacific Security Treaty)
D|India-Singapore Strategic Economic Cooperation Agreement / ভারত-সিঙ্গাপুর কৌশলগত অর্থনৈতিক সহযোগিতা চুক্তি (India-Singapore Strategic Economic Cooperation Agreement)
Shift| 22/12/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|7.66

Q|What maximum sustained wind speed range was forecast for Cyclone Montha before landfall in October 2025? / ২০২৫ সালের অক্টোবরে ল্যান্ডফল বা স্থলভাগে আছড়ে পড়ার আগে ঘূর্ণিঝড় 'মন্থা' (Cyclone Montha)-র জন্য সর্বোচ্চ টেকসই বাতাসের গতির কী রেঞ্জ পূর্বাভাস দেওয়া হয়েছিল?
A|140-150 km/h / ১৪০-১৫০ কিমি/ঘণ্টা
B|60-70 km/h / ৬০-৭০ কিমি/ঘণ্টা
C|90-100 km/h / ৯০-১০০ কিমি/ঘণ্টা
D|120-130 km/h / ১২০-১৩০ কিমি/ঘণ্টা
Shift| 29/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|8.64

Q|Who received the Sahitya Akademi Translation Prize (awarded in March 2025) for translating Himanshi Joshi's Tere Liye into Punjabi as There Laee? / হিমাংশী জোশীর 'তেরে লিয়ে' উপন্যাসটি পাঞ্জাবিতে 'তেরে লঈ' হিসেবে অনুবাদ করার জন্য কে সাহিত্য একাডেমি অনুবাদ পুরস্কার (মার্চ ২০২৫-এ প্রদত্ত) পেয়েছেন?
A|Srinivas Murmu / শ্রীনিবাস মুর্মু (Srinivas Murmu)
B|Suvash Satpathy / সুবাশ সতপতী (Suvash Satpathy)
C|Chandan Negi / চন্দন নেগি (Chandan Negi)
D|Anjan Sarma / অঞ্জন শর্মা (Anjan Sarma)
Shift| 08/12/2025 4:30 PM - 6:00 PM
Correct|C
Difficulty|5.04

Q|As per the Economic Survey 2024-25, what corpus amount has been launched under the Self-Reliant India (SRI) Fund for MSMEs? / অর্থনৈতিক সমীক্ষা ২০২৪-২৫ অনুসারে, এমএসএমই (MSME)-এর জন্য আত্মনির্ভর ভারত (SRI) তহবিলের অধীনে কত টাকার কর্পাস বা তহবিল চালু করা হয়েছে?
A|₹25,000 crore / ₹২৫,০০০ কোটি
B|₹1 lakh crore / ₹১ লাখ কোটি
C|₹50,000 crore / ₹৫০,০০০ কোটি
D|₹75,000 crore / ₹৭৫,০০০ কোটি
Shift| 08/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|8.63

Q|Which milestone did Tata Lockheed Martin Aerostructures (TLMAL), a joint venture of Tata Advanced Systems (TASL) and Lockheed Martin achieve in India's defence manufacturing in December 2025? / টাটা অ্যাডভান্সড সিস্টেমস (TASL) এবং লকহিড মার্টিনের যৌথ উদ্যোগ টাটা লকহিড মার্টিন অ্যারোস্ট্রাকচার্স (TLMAL), ২০২৫ সালের ডিসেম্বরে ভারতের প্রতিরক্ষা উৎপাদনে কোন মাইলফলক অর্জন করেছে?
A|Delivery of 300th C-130J tail assembly / ৩০০তম সি-১৩০জে (C-130J) টেইল অ্যাসেম্বলি সরবরাহ
B|Delivery of 250th C-130J tail assembly / ২৫০তম সি-১৩০জে (C-130J) টেইল অ্যাসেম্বলি সরবরাহ
C|Delivery of 100th C-130J tail assembly / ১০০তম সি-১৩০জে (C-130J) টেইল অ্যাসেম্বলি সরবরাহ
