Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFAIRS (GACA)
Topic|
SubTopic|
Level| 12+
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| Which of the following countries is the venue for the 2025 Esports World Cup?
QBN| ২০২৫ সালের ই-স্পোর্টস ওয়ার্ল্ড কাপ (2025 Esports World Cup)-এর ভেন্যু বা আয়োজক দেশ নিচের কোনটি?
Common| 
Image| 
A| Berlin / বার্লিন (Berlin)
B| Riyadh / রিয়াধ (Riyadh)
C| Dubai / দুবাই (Dubai)
D| Beijing / বেজিং (Beijing)
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.88
Topic| 
SubTopic| 
QuestionID| GACA-000601

QEN| As of July 2025, how many Indian cricketers have been nominated for a Laureus World Sports Award, including Rishabh Pant?
QBN| ঋষভ পন্থ সহ কতজন ভারতীয় ক্রিকেটারকে জুলাই ২০২৫ পর্যন্ত লরিয়াস ওয়ার্ল্ড স্পোর্টস অ্যাওয়ার্ডের (Laureus World Sports Award) জন্য মনোনীত করা হয়েছে?
Common| 
Image| 
A| Three / তিনজন (Three)
B| Four / চারজন (Four)
C| Two / দুজন (Two)
D| One / একজন (One)
Shift| 02/02/2026 4:30 PM - 6:00 PM
Correct| C
Difficulty| 5.12
Topic| 
SubTopic| 
QuestionID| GACA-000602

QEN| How many total medals did India win at the 2025 World Boxing Cup?
QBN| ২০২৫ সালের ওয়ার্ল্ড বক্সিং কাপে (2025 World Boxing Cup) ভারত মোট কতটি পদক জিতেছে?
Common| 
Image| 
A| 9 / ৯
B| 10 / ১০
C| 8 / ৮
D| 11 / ১১
Shift| 01/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 6.24
Topic| 
SubTopic| 
QuestionID| GACA-000603

QEN| In November 2025, 79 spotted deer were moved to which national park as part of conservation efforts in India?
QBN| ভারতের সংরক্ষক প্রচেষ্টার অংশ হিসেবে নভেম্বর ২০২৫-এ ৭৯টি চিত্রা বা চিত্রা হরিণ (spotted deer) কোন জাতীয় উদ্যানে স্থানান্তরিত করা হয়েছে?
Common| 
Image| 
A| Chandoli National Park / চন্দৌলি জাতীয় উদ্যান (Chandoli National Park)
B| Keoladeo National Park / কেওলাদেও জাতীয় উদ্যান (Keoladeo National Park)
C| Sultanpur National Park / সুলতানপুর জাতীয় উদ্যান (Sultanpur National Park)
D| Kaziranga National Park / কাজিরাঙ্গা জাতীয় উদ্যান (Kaziranga National Park)
Shift| 03/02/2026 4:30 PM - 6:00 PM
Correct| A
Difficulty| 6.01
Topic| 
SubTopic| 
QuestionID| GACA-000604

QEN| The Greenhouse Gas Emission Intensity (GEI) Target Rules, 2025, notified in October 2025 apply to which of the following industrial sectors?
QBN| অক্টোবর ২০২৫-এ বিজ্ঞাপিত গ্রিনহাউস গ্যাস এমিশন ইন্টেনসিটি (GEI) টার্গেট রুলস, ২০২৫ নিচের কোন শিল্প খাতগুলিতে প্রযোজ্য?
Common| 
Image| 
A| Steel, cement, aluminium, textiles / লোহা ও ইস্পাত, সিমেন্ট, অ্যালুমিনিয়াম, বস্ত্রশিল্প (Steel, cement, aluminium, textiles)
B| Coal, power generation, cement, chemicals / কয়লা, বিদ্যুৎ উৎপাদন, সিমেন্ট, রাসায়নিক (Coal, power generation, cement, chemicals)
C| Iron & steel, aluminium, coal, cement / লোহা ও ইস্পাত, অ্যালুমিনিয়াম, কয়লা, সিমেন্ট (Iron & steel, aluminium, coal, cement)
D| Cement, aluminium, chlor-alkali, pulp & paper / সিমেন্ট, অ্যালুমিনিয়াম, ক্লোর-আকালি, পাল্প ও কাগজ (Cement, aluminium, chlor-alkali, pulp & paper)
Shift| 26/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 8.32
Topic| 
SubTopic| 
QuestionID| GACA-000605

QEN| What was the penalty amount imposed by the Insurance Regulatory and Development Authority of India (IRDAI) on Acko General Insurance in May 2025?
QBN| মে ২০২৫-এ অ্যাকো জেনারেল ইন্স্যুরেন্সের (Acko General Insurance) ওপর ভারতীয় বীমা নিয়ন্ত্রণ ও উন্নয়ন কর্তৃপক্ষ (IRDAI) কত টাকা জরিমানা ধার্য করেছিল?
Common| 
Image| 
A| ₹25 lakh / ২৫ লক্ষ টাকা (₹25 lakh)
B| ₹50 lakh / ৫০ লক্ষ টাকা (₹50 lakh)
C| ₹1 crore / ১ কোটি টাকা (₹1 crore)
D| ₹2 crore / ২ কোটি টাকা (₹2 crore)
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 8.05
Topic| 
